epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.092,1.37848,1.26174,1.18864,0.85191,0.67922,0.77261,0.47367,1.32,1.10854,1.14516,0.00066587,0.00066587,0.00066587
2,304.596,1.32814,0.91892,1.15812,0.87154,0.70483,0.79374,0.48848,1.32943,0.84244,1.16678,0.00126658,0.00126658,0.00126658
3,435.333,1.30827,0.87279,1.15038,0.88261,0.70648,0.79402,0.49165,1.28982,0.79947,1.13429,0.00180128,0.00180128,0.00180128
4,565.693,1.28834,0.8296,1.13597,0.87429,0.74349,0.81599,0.5026,1.27369,0.78985,1.13229,0.001703,0.001703,0.001703
5,695.07,1.25604,0.79216,1.12348,0.87783,0.7493,0.82782,0.53165,1.25018,0.71315,1.12224,0.001604,0.001604,0.001604
6,824.876,1.25183,0.7718,1.12038,0.87086,0.75803,0.83391,0.53862,1.23562,0.68805,1.11005,0.001505,0.001505,0.001505
7,954.582,1.22119,0.73534,1.10355,0.88539,0.77221,0.84481,0.55041,1.2124,0.65885,1.1011,0.001406,0.001406,0.001406
8,1085.1,1.2168,0.71903,1.09919,0.88685,0.77221,0.8479,0.54446,1.22596,0.65478,1.10926,0.001307,0.001307,0.001307
9,1218.63,1.20341,0.70572,1.0928,0.8903,0.77539,0.85204,0.5536,1.20398,0.62476,1.09822,0.001208,0.001208,0.001208
10,1351.16,1.19338,0.68443,1.08594,0.89614,0.78586,0.86081,0.56138,1.19142,0.61291,1.08357,0.001109,0.001109,0.001109
11,1546.28,1.18927,0.65615,1.08987,0.88897,0.77571,0.85415,0.55482,1.21911,0.62838,1.0959,0.00101,0.00101,0.00101
12,1682.37,1.17756,0.65028,1.08134,0.89584,0.78328,0.86094,0.56789,1.18507,0.60487,1.08148,0.000911,0.000911,0.000911
13,1839.11,1.16483,0.62443,1.07617,0.89313,0.78464,0.86393,0.56993,1.18463,0.59502,1.08284,0.000812,0.000812,0.000812
14,1972.64,1.15699,0.6109,1.07285,0.88873,0.79328,0.86723,0.57098,1.17469,0.58691,1.07743,0.000713,0.000713,0.000713
15,2100.59,1.14941,0.60147,1.06977,0.88476,0.79542,0.8666,0.57377,1.17398,0.57922,1.07731,0.000614,0.000614,0.000614
16,2230.12,1.1376,0.58664,1.06207,0.90121,0.79363,0.87358,0.57945,1.16682,0.56558,1.07036,0.000515,0.000515,0.000515
17,2387.15,1.12788,0.57293,1.05549,0.89508,0.79854,0.87422,0.58094,1.1632,0.55938,1.06768,0.000416,0.000416,0.000416
18,2514.88,1.11981,0.56188,1.05007,0.89323,0.80498,0.87751,0.58202,1.1599,0.55288,1.06435,0.000317,0.000317,0.000317
19,2642.85,1.11219,0.55058,1.04494,0.89643,0.80396,0.87946,0.5848,1.15469,0.54588,1.06329,0.000218,0.000218,0.000218
20,2771.3,1.10481,0.53668,1.04038,0.89824,0.8065,0.8809,0.58724,1.15104,0.53812,1.06,0.000119,0.000119,0.000119
